FileName,Capital_Income_part1.pdf,Capital_Income_part2.pdf,craftsmanmotherwords.txt,Craftsmen_part_1.pdf,Craftsmen_part2.pdf,healthcaremotherwords.txt,Invoices_Upwork_001.pdf,Invoices_Upwork_002.pdf,Invoices_Upwork_003.pdf,Invoices_Upwork_004.pdf,Mahesh_(2).pdf,Mahesh.pdf,Mustermann_1.pdf,Mustermann_3.pdf,Mustermann_4.pdf
Capital_Income_part1.pdf,1.0000,0.9641,0.1665,0.6700,0.6746,0.2478,0.6818,0.7475,0.6670,0.9553,0.6677,0.6966,0.4883,0.4324,0.4416
Capital_Income_part2.pdf,0.9641,1.0000,0.1699,0.6911,0.6905,0.2495,0.7003,0.7436,0.6876,0.9849,0.6851,0.7080,0.4616,0.4248,0.4181
craftsmanmotherwords.txt,0.1665,0.1699,1.0000,0.3835,0.3892,0.4989,0.2438,0.2920,0.3782,0.1707,0.3148,0.3018,0.1974,0.1936,0.1678
Craftsmen_part_1.pdf,0.6700,0.6911,0.3835,1.0000,0.9057,0.2950,0.7433,0.7554,0.8891,0.6798,0.8042,0.8231,0.4472,0.4025,0.4412
Craftsmen_part2.pdf,0.6746,0.6905,0.3892,0.9057,1.0000,0.3103,0.7364,0.7865,0.8939,0.6901,0.8609,0.8611,0.4960,0.4539,0.4802
healthcaremotherwords.txt,0.2478,0.2495,0.4989,0.2950,0.3103,1.0000,0.3511,0.3964,0.3461,0.2455,0.4531,0.4134,0.2462,0.3267,0.2407
Invoices_Upwork_001.pdf,0.6818,0.7003,0.2438,0.7433,0.7364,0.3511,1.0000,0.7607,0.7559,0.6842,0.7588,0.7794,0.4388,0.4516,0.4143
Invoices_Upwork_002.pdf,0.7475,0.7436,0.2920,0.7554,0.7865,0.3964,0.7607,1.0000,0.7644,0.7245,0.7721,0.7983,0.5382,0.5139,0.4993
Invoices_Upwork_003.pdf,0.6670,0.6876,0.3782,0.8891,0.8939,0.3461,0.7559,0.7644,1.0000,0.6814,0.8235,0.8330,0.4666,0.4246,0.4526
Invoices_Upwork_004.pdf,0.9553,0.9849,0.1707,0.6798,0.6901,0.2455,0.6842,0.7245,0.6814,1.0000,0.6842,0.7081,0.4466,0.4063,0.4167
Mahesh_(2).pdf,0.6677,0.6851,0.3148,0.8042,0.8609,0.4531,0.7588,0.7721,0.8235,0.6842,1.0000,0.9320,0.4370,0.4608,0.4283
Mahesh.pdf,0.6966,0.7080,0.3018,0.8231,0.8611,0.4134,0.7794,0.7983,0.8330,0.7081,0.9320,1.0000,0.4977,0.4870,0.4924
Mustermann_1.pdf,0.4883,0.4616,0.1974,0.4472,0.4960,0.2462,0.4388,0.5382,0.4666,0.4466,0.4370,0.4977,1.0000,0.7659,0.8401
Mustermann_3.pdf,0.4324,0.4248,0.1936,0.4025,0.4539,0.3267,0.4516,0.5139,0.4246,0.4063,0.4608,0.4870,0.7659,1.0000,0.7381
Mustermann_4.pdf,0.4416,0.4181,0.1678,0.4412,0.4802,0.2407,0.4143,0.4993,0.4526,0.4167,0.4283,0.4924,0.8401,0.7381,1.0000
