FileA,FileB,SimilarityScore
"Capital_Income_part1.pdf","Capital_Income_part2.pdf",0,9641
"Capital_Income_part1.pdf","craftsmanmotherwords.txt",0,1665
"Capital_Income_part1.pdf","Craftsmen_part2.pdf",0,6746
"Capital_Income_part1.pdf","Craftsmen_part_1.pdf",0,6700
"Capital_Income_part1.pdf","healthcaremotherwords.txt",0,2478
"Capital_Income_part1.pdf","Invoices_Upwork_001.pdf",0,6818
"Capital_Income_part1.pdf","Invoices_Upwork_002.pdf",0,7475
"Capital_Income_part1.pdf","Invoices_Upwork_003.pdf",0,6670
"Capital_Income_part1.pdf","Invoices_Upwork_004.pdf",0,9553
"Capital_Income_part1.pdf","Mahesh.pdf",0,6966
"Capital_Income_part1.pdf","Mahesh_(2).pdf",0,6677
"Capital_Income_part1.pdf","Mustermann_1.pdf",0,4883
"Capital_Income_part1.pdf","Mustermann_3.pdf",0,4324
"Capital_Income_part1.pdf","Mustermann_4.pdf",0,4416
"Capital_Income_part2.pdf","craftsmanmotherwords.txt",0,1699
"Capital_Income_part2.pdf","Craftsmen_part2.pdf",0,6905
"Capital_Income_part2.pdf","Craftsmen_part_1.pdf",0,6911
"Capital_Income_part2.pdf","healthcaremotherwords.txt",0,2495
"Capital_Income_part2.pdf","Invoices_Upwork_001.pdf",0,7003
"Capital_Income_part2.pdf","Invoices_Upwork_002.pdf",0,7436
"Capital_Income_part2.pdf","Invoices_Upwork_003.pdf",0,6876
"Capital_Income_part2.pdf","Invoices_Upwork_004.pdf",0,9849
"Capital_Income_part2.pdf","Mahesh.pdf",0,7080
"Capital_Income_part2.pdf","Mahesh_(2).pdf",0,6851
"Capital_Income_part2.pdf","Mustermann_1.pdf",0,4616
"Capital_Income_part2.pdf","Mustermann_3.pdf",0,4248
"Capital_Income_part2.pdf","Mustermann_4.pdf",0,4181
"craftsmanmotherwords.txt","Craftsmen_part2.pdf",0,3892
"craftsmanmotherwords.txt","Craftsmen_part_1.pdf",0,3835
"craftsmanmotherwords.txt","healthcaremotherwords.txt",0,4989
"craftsmanmotherwords.txt","Invoices_Upwork_001.pdf",0,2438
"craftsmanmotherwords.txt","Invoices_Upwork_002.pdf",0,2920
"craftsmanmotherwords.txt","Invoices_Upwork_003.pdf",0,3782
"craftsmanmotherwords.txt","Invoices_Upwork_004.pdf",0,1707
"craftsmanmotherwords.txt","Mahesh.pdf",0,3018
"craftsmanmotherwords.txt","Mahesh_(2).pdf",0,3148
"craftsmanmotherwords.txt","Mustermann_1.pdf",0,1974
"craftsmanmotherwords.txt","Mustermann_3.pdf",0,1936
"craftsmanmotherwords.txt","Mustermann_4.pdf",0,1678
"Craftsmen_part2.pdf","Craftsmen_part_1.pdf",0,9057
"Craftsmen_part2.pdf","healthcaremotherwords.txt",0,3103
"Craftsmen_part2.pdf","Invoices_Upwork_001.pdf",0,7364
"Craftsmen_part2.pdf","Invoices_Upwork_002.pdf",0,7865
"Craftsmen_part2.pdf","Invoices_Upwork_003.pdf",0,8939
"Craftsmen_part2.pdf","Invoices_Upwork_004.pdf",0,6901
"Craftsmen_part2.pdf","Mahesh.pdf",0,8611
"Craftsmen_part2.pdf","Mahesh_(2).pdf",0,8609
"Craftsmen_part2.pdf","Mustermann_1.pdf",0,4960
"Craftsmen_part2.pdf","Mustermann_3.pdf",0,4539
